Date,Value,"Statut","Qualification","Méthode","Continuité"
2020-06-20T00:00:00.000Z,"7600","16",20,10,0
2020-06-21T00:00:00.000Z,"6160","16",20,10,0
2020-06-22T00:00:00.000Z,"6050","16",20,10,0
2020-06-23T00:00:00.000Z,"5060","16",20,10,0
2020-06-24T00:00:00.000Z,"4240","16",20,10,0
2020-06-25T00:00:00.000Z,"3690","16",20,10,0
2020-06-26T00:00:00.000Z,"3110","16",20,10,0
2020-06-27T00:00:00.000Z,"4460","16",20,10,0
2020-06-28T00:00:00.000Z,"3530","16",20,10,0
2020-06-29T00:00:00.000Z,"3400","16",20,10,0
2020-06-30T00:00:00.000Z,"2610","16",20,10,0
2020-07-01T00:00:00.000Z,"2230","16",20,10,0
2020-07-02T00:00:00.000Z,"2370","16",20,10,0
2020-07-03T00:00:00.000Z,"2440","16",20,10,0
2020-07-04T00:00:00.000Z,"2400","16",20,10,0
2020-07-05T00:00:00.000Z,"2010","16",20,10,0
2020-07-06T00:00:00.000Z,"1840","16",20,10,0
2020-07-07T00:00:00.000Z,"1810","16",20,10,0
2020-07-08T00:00:00.000Z,"1060","16",20,10,0
2020-07-09T00:00:00.000Z,"1360","16",20,10,0
2020-07-10T00:00:00.000Z,"1080","16",20,10,0
2020-07-11T00:00:00.000Z,"1020","16",20,10,0
2020-07-12T00:00:00.000Z,"1040","16",20,10,0
2020-07-13T00:00:00.000Z,"1320","16",20,10,0
2020-07-14T00:00:00.000Z,"952","16",20,10,0
2020-07-15T00:00:00.000Z,"914","16",20,10,0
2020-07-16T00:00:00.000Z,"994","16",20,10,0
2020-07-17T00:00:00.000Z,"1380","16",20,10,0
2020-07-18T00:00:00.000Z,"936","16",20,10,0
2020-07-19T00:00:00.000Z,"952","16",20,10,0
2020-07-20T00:00:00.000Z,"926","16",20,10,0
2020-07-21T00:00:00.000Z,"938","16",20,10,0
2020-07-22T00:00:00.000Z,"2820","16",20,10,0
2020-07-23T00:00:00.000Z,"2160","16",20,10,0
2020-07-24T00:00:00.000Z,"1420","16",20,10,0
2020-07-25T00:00:00.000Z,"988","16",20,10,0
2020-07-26T00:00:00.000Z,"889","16",20,10,0
2020-07-27T00:00:00.000Z,"877","16",20,10,0
2020-07-28T00:00:00.000Z,"804","16",20,10,0
2020-07-29T00:00:00.000Z,"795","16",20,10,0
2020-07-30T00:00:00.000Z,"661","16",20,10,0
2020-07-31T00:00:00.000Z,"722","16",20,10,0
